,datetime,logchange
323,13/04/1955,0.000576217
324,14/04/1955,0.00092036
325,15/04/1955,0.001949312
326,18/04/1955,0.003532258
327,19/04/1955,-0.00056778
328,20/04/1955,0.000681246
329,21/04/1955,0.000453571
330,22/04/1955,-0.003527631
331,25/04/1955,0.001141079
332,26/04/1955,0.002273203
333,27/04/1955,-0.002273203
334,28/04/1955,-0.004928055
335,29/04/1955,0.00321531
336,02/05/1955,0.000914305
337,03/05/1955,-0.003899158
338,04/05/1955,-0.000691735
339,05/05/1955,0.00207191
340,06/05/1955,0.000803081
341,09/05/1955,0.000458237
342,10/05/1955,-0.000916959
343,11/05/1955,-0.004962101
344,12/05/1955,-0.002560843
345,13/05/1955,0.0027929
346,16/05/1955,-0.004899426
347,17/05/1955,-0.000586964
348,18/05/1955,0.003626453
349,19/05/1955,0.002439537
350,20/05/1955,0.002886455
351,23/05/1955,-0.003002314
352,24/05/1955,-0.000231809
353,25/05/1955,0.001620072
354,26/05/1955,0.002878039
355,27/05/1955,0.000916959
356,31/05/1955,-0.000229058
357,01/06/1955,0.000572419
358,02/06/1955,0.000571666
359,03/06/1955,0.00409393
360,06/06/1955,0.0146893
361,07/06/1955,0.002944381
362,08/06/1955,-0.00811789
363,09/06/1955,-0.002331639
364,10/06/1955,0.002663711
365,13/06/1955,0.00407481
366,14/06/1955,0.000547729
367,15/06/1955,0.002401836
368,16/06/1955,0.000761443
369,17/06/1955,0.001518893
370,20/06/1955,0.000432996
371,21/06/1955,0.003984875
372,22/06/1955,0.00096379
373,23/06/1955,0.001601579
374,24/06/1955,0.002232335
375,27/06/1955,0.00031797
376,28/06/1955,-0.002337207
377,29/06/1955,0.000212994
378,30/06/1955,0.002547812
379,01/07/1955,0.001690275
380,05/07/1955,0.005240103
381,06/07/1955,0.015250743
382,07/07/1955,-0.006076981
383,08/07/1955,0.000611539
384,11/07/1955,0.001118923
385,12/07/1955,0
386,13/07/1955,-0.00521221
387,14/07/1955,0.000102804
388,15/07/1955,0.001539143
389,18/07/1955,-0.000409905
390,19/07/1955,-0.002673856
391,20/07/1955,0.001338986
392,21/07/1955,0.004196115
393,22/07/1955,0.00365126
394,25/07/1955,0.00482108
395,26/07/1955,0.00099769
396,27/07/1955,0.001790087
397,28/07/1955,-0.002588056
398,29/07/1955,0.00019963
399,01/08/1955,-0.005927998
400,02/08/1955,0.001010458
401,03/08/1955,0.000605148
402,04/08/1955,-0.007420543
403,05/08/1955,0.002045668
404,08/08/1955,-0.002558594
405,09/08/1955,-0.005786546
406,10/08/1955,-0.000104035
407,11/08/1955,0.004039014
408,12/08/1955,0.000823893
409,15/08/1955,-0.000411751
410,16/08/1955,-0.003204377
411,17/08/1955,0.000414799
412,18/08/1955,-0.000622347
413,19/08/1955,0.001864372
414,22/08/1955,-0.000413614
415,23/08/1955,0.00585713
416,24/08/1955,0.00061197
417,25/08/1955,0.001932235
418,26/08/1955,0.001923676
419,29/08/1955,-0.000303172
420,30/08/1955,-0.000404559
421,31/08/1955,0.002622925
422,01/09/1955,0.001906784
423,02/09/1955,0.002297067
424,06/09/1955,0.002582138
425,07/09/1955,-9.90E-05
426,08/09/1955,0.000297021
427,09/09/1955,9.90E-05
428,12/09/1955,0.002958421
429,13/09/1955,0.005954012
430,14/09/1955,0.001837979
431,15/09/1955,-0.002322954
432,16/09/1955,0.003287196
433,19/09/1955,0.000673698
434,20/09/1955,-0.0002886
435,21/09/1955,0.002494849
436,22/09/1955,0
437,23/09/1955,0.002290286
438,26/09/1955,-0.029738935
439,27/09/1955,0.009775692
440,28/09/1955,0.007214524
441,29/09/1955,-0.002753065
442,30/09/1955,-0.003565494
443,03/10/1955,-0.011896461
444,04/10/1955,0.003359932
445,05/10/1955,0.001720782
446,06/10/1955,-0.00293957
447,07/10/1955,-0.003266923
448,10/10/1955,-0.012791113
449,11/10/1955,-0.003709676
450,12/10/1955,0.007597182
451,13/10/1955,-0.001361918
452,14/10/1955,-0.001787439
453,17/10/1955,0.001367526
454,18/10/1955,0.003139492
455,19/10/1955,0.004357506
456,20/10/1955,0.005335128
457,21/10/1955,0
458,24/10/1955,0.003250874
459,25/10/1955,-0.002843182
460,26/10/1955,-0.003477648
461,27/10/1955,0.000513169
462,28/10/1955,0.00030761
463,31/10/1955,-0.00030761
464,01/11/1955,-0.000615875
465,02/11/1955,0.000718436
466,03/11/1955,0.009032271
467,04/11/1955,0.007171998
468,07/11/1955,0.001873024
469,09/11/1955,0.004501515
470,10/11/1955,0.001069572
471,11/11/1955,0.005020801
472,14/11/1955,0.011088972
473,15/11/1955,-0.0018756
474,16/11/1955,-0.002828676
475,17/11/1955,-0.003037701
476,18/11/1955,-0.000476566
477,21/11/1955,-0.003062468
478,22/11/1955,0.004205349
479,23/11/1955,0.000570315
480,25/11/1955,-0.000380126
481,28/11/1955,-0.002861604
482,29/11/1955,0.001719224
483,30/11/1955,-0.00047688
484,01/12/1955,-0.001529544
485,02/12/1955,0.000861031
486,05/12/1955,0.002477877
487,06/12/1955,0
488,07/12/1955,-0.001427819
489,08/12/1955,0.002566704
490,09/12/1955,0.000662973
491,12/12/1955,-0.004470928
492,13/12/1955,0.000286758
493,14/12/1955,-0.003646329
494,15/12/1955,-9.64E-05
495,16/12/1955,0.000674146
496,19/12/1955,-0.001059843
497,20/12/1955,-0.000675795
498,21/12/1955,0.008514913
499,22/12/1955,-0.004093107
500,23/12/1955,0.000859895
501,27/12/1955,-0.002680839
502,28/12/1955,-0.001635763
503,29/12/1955,0.000962959
504,30/12/1955,0.003162701
505,03/01/1956,-0.003066523
506,04/01/1956,-0.001541419
507,05/01/1956,-0.000482818
508,06/01/1956,0.001831859
509,09/01/1956,-0.00610396
510,10/01/1956,-0.00342853
511,11/01/1956,0.002158233
512,12/01/1956,0.003605742
513,13/01/1956,-0.000777087
514,16/01/1956,-0.005183624
515,17/01/1956,0.003234801
516,18/01/1956,-0.00293973
517,19/01/1956,-0.004447246
518,20/01/1956,-0.004995391
519,23/01/1956,-0.00110674
520,24/01/1956,0.005406225
521,25/01/1956,0.000695905
522,26/01/1956,-0.002590431
523,27/01/1956,-0.00110062
524,30/01/1956,0.001500155
525,31/01/1956,0.003183116
526,01/02/1956,0.002076312
527,02/02/1956,0.001870053
528,03/02/1956,0.005465351
529,06/02/1956,0.000290855
530,07/02/1956,-0.002040085
531,08/02/1956,-0.004305794
532,09/02/1956,-0.004945333
533,10/02/1956,-0.000198989
534,13/02/1956,-0.000597516
535,14/02/1956,-0.001597407
536,15/02/1956,0.006157491
537,16/02/1956,-0.002174937
538,17/02/1956,0.006882782
539,20/02/1956,-0.00068339
540,21/02/1956,0.001073417
541,23/02/1956,0.003784514
542,24/02/1956,0.003560205
543,27/02/1956,-0.000479407
544,28/02/1956,0.001532242
545,29/02/1956,-0.000861221
546,01/03/1956,0.00191151
547,02/03/1956,0.002567265
548,05/03/1956,0.002363642
549,06/03/1956,-0.000188619
550,07/03/1956,-0.000283082
551,08/03/1956,0.001037065
552,09/03/1956,0.005427582
553,12/03/1956,0.003980559
554,13/03/1956,-0.000645517
555,14/03/1956,0.004315891
556,15/03/1956,0.004182936
557,16/03/1956,0.001355336
558,19/03/1956,0.004040813
559,20/03/1956,0.00249544
560,21/03/1956,-0.005725077
561,22/03/1956,0.004390018
562,23/03/1956,0.000979445
563,26/03/1956,-0.00187177
564,27/03/1956,-0.003317637
565,28/03/1956,0.002333957
566,29/03/1956,-0.000268663
567,02/04/1956,0.00196635
568,03/04/1956,-0.00151867
569,04/04/1956,0.002409531
570,05/04/1956,-0.002051719
571,06/04/1956,0.002496465
572,09/04/1956,-0.002138947
573,10/04/1956,-0.006118192
574,11/04/1956,0.003429608
575,12/04/1956,-0.002614882
576,13/04/1956,-0.000633544
577,16/04/1956,9.06E-05
578,17/04/1956,-0.000271745
579,18/04/1956,-0.001725014
580,19/04/1956,-0.001549263
581,20/04/1956,0.001731167
582,23/04/1956,-0.001001413
583,24/04/1956,-0.003569188
584,25/04/1956,-0.001565027
585,26/04/1956,0.003673479
586,27/04/1956,0.00454858
587,30/04/1956,0.003515114
588,01/05/1956,-0.001979386
589,02/05/1956,9.02E-05
590,03/05/1956,0.00153
591,04/05/1956,0.001524629
592,07/05/1956,-0.002604069
593,08/05/1956,-0.00180505
594,09/05/1956,-0.000724126
595,10/05/1956,-0.007124233
596,11/05/1956,-0.000368515
597,14/05/1956,-0.002402998
598,15/05/1956,-0.004565188
599,16/05/1956,-0.003007461
600,17/05/1956,0.005249468
601,18/05/1956,-0.00205473
602,21/05/1956,-0.003760963
603,22/05/1956,-0.00694886
604,23/05/1956,-0.002309059
605,24/05/1956,-0.004070632
606,25/05/1956,0.000194707
607,28/05/1956,-0.005090976
608,29/05/1956,0.009834238
609,31/05/1956,0.000865608
610,01/06/1956,0.003635886
611,04/06/1956,0.002565019
612,05/06/1956,9.47E-05
613,06/06/1956,-0.002183582
614,07/06/1956,0.003412941
615,08/06/1956,-0.008101855
616,11/06/1956,0.005449667
617,12/06/1956,0.006132206
618,13/06/1956,0.000561709
619,14/06/1956,-0.001030355
620,15/06/1956,0.000562315
621,18/06/1956,-0.001877221
622,19/06/1956,0.000470067
623,20/06/1956,0.001781627
624,21/06/1956,0.002984213
625,22/06/1956,-0.001303071
626,25/06/1956,-0.001681142
627,26/06/1956,0.002891266
628,27/06/1956,0.003241364
629,28/06/1956,0.000553241
630,29/06/1956,-0.00147688
631,02/07/1956,-0.000370006
632,03/07/1956,0.003594182
633,05/07/1956,0.004383161
634,06/07/1956,0.002175102
635,09/07/1956,0.001894319
636,10/07/1956,0.002602454
637,11/07/1956,0.001340003
638,12/07/1956,-0.000982264
639,13/07/1956,0.001249769
640,16/07/1956,0.003727873
641,17/07/1956,0.00149985
642,18/07/1956,-8.81E-05
643,19/07/1956,0.000176149
644,20/07/1956,0.000264089
645,23/07/1956,-0.000176042
646,24/07/1956,0
647,25/07/1956,0.000967347
648,26/07/1956,0.000351229
649,27/07/1956,-0.003525137
650,30/07/1956,-0.000708474
651,31/07/1956,0.003442946
652,01/08/1956,0.002017734
653,02/08/1956,0.000175013
654,03/08/1956,0
655,06/08/1956,-0.005990364
656,07/08/1956,0.001770465
657,08/08/1956,0.001763277
658,09/08/1956,-0.000352083
659,10/08/1956,-0.002030036
660,13/08/1956,-0.004535522
661,14/08/1956,-0.005216273
662,15/08/1956,0.008866202
663,16/08/1956,-0.000976242
664,17/08/1956,-0.000533422
665,20/08/1956,-0.005100457
666,21/08/1956,-0.003252481
667,22/08/1956,-0.004283287
668,23/08/1956,0.005279688
669,24/08/1956,-0.000452626
670,27/08/1956,-0.002634573
671,28/08/1956,-0.000820887
672,29/08/1956,-0.001921458
673,30/08/1956,-0.003868608
674,31/08/1956,0.005241945
675,04/09/1956,0.003459807
676,05/09/1956,0.001177319
677,06/09/1956,0.000722921
678,07/09/1956,-0.002626333
679,10/09/1956,-0.002276898
680,11/09/1956,-0.00164679
681,12/09/1956,-0.003035429
682,13/09/1956,-0.00895292
683,14/09/1956,0.010427292
684,17/09/1956,-0.001013093
685,18/09/1956,-0.002867862
686,19/09/1956,-0.00513522
687,20/09/1956,-0.000281857
688,21/09/1956,0.003463516
689,24/09/1956,-0.001681504
690,25/09/1956,-0.006126882
691,26/09/1956,0.000663986
692,27/09/1956,-0.002090242
693,28/09/1956,-0.002387551
694,01/10/1956,-0.006269768
695,02/10/1956,0.00789473
696,03/10/1956,0.007191097
697,04/10/1956,9.38E-05
698,05/10/1956,0.001498538
699,08/10/1956,-0.000187035
700,09/10/1956,-0.002156708
701,10/10/1956,0.005974911
702,11/10/1956,-0.000278245
703,12/10/1956,0.001759217
704,15/10/1956,-0.001295574
705,16/10/1956,-0.002230015
706,17/10/1956,-0.003366641
707,18/10/1956,0.000750401
708,19/10/1956,-0.000938204
709,22/10/1956,-9.39E-05
710,23/10/1956,-0.001034595
711,24/10/1956,-0.001792853
712,25/10/1956,-0.000757105
713,26/10/1956,0.003960159
714,29/10/1956,0.001218481
715,30/10/1956,-0.000280885
716,31/10/1956,-0.007462775
