datetime,Open,High,Low,close,Volume
20/03/1950,17.44,17.44,17.44,17.44,794444
21/03/1950,17.45,17.45,17.45,17.45,777778
22/03/1950,17.55,17.55,17.55,17.55,1116667
23/03/1950,17.56,17.56,17.56,17.56,1122222
24/03/1950,17.56,17.56,17.56,17.56,872222
25/03/1950,17.61,17.61,17.61,17.61,872222
27/03/1950,17.46,17.46,17.46,17.46,1072222
28/03/1950,17.53,17.53,17.53,17.53,988889
29/03/1950,17.44,17.44,17.44,17.44,1161111
30/03/1950,17.3,17.3,17.3,17.3,1316667
31/03/1950,17.29,17.29,17.29,17.29,1044444
01/04/1950,17.34,17.34,17.34,17.34,1044444
03/04/1950,17.53,17.53,17.53,17.53,872222
04/04/1950,17.55,17.55,17.55,17.55,1116667
05/04/1950,17.63,17.63,17.63,17.63,794444
06/04/1950,17.78,17.78,17.78,17.78,1111111
08/04/1950,17.82,17.82,17.82,17.82,1111111
10/04/1950,17.85,17.85,17.85,17.85,1150000
11/04/1950,17.75,17.75,17.75,17.75,1116667
12/04/1950,17.94,17.94,17.94,17.94,1116667
13/04/1950,17.98,17.98,17.98,17.98,1338889
14/04/1950,17.96,17.96,17.96,17.96,1527778
15/04/1950,17.86,17.86,17.86,17.86,1527778
17/04/1950,17.88,17.88,17.88,17.88,1400000
18/04/1950,18.03,18.03,18.03,18.03,1844444
19/04/1950,18.05,18.05,18.05,18.05,1638889
20/04/1950,17.93,17.93,17.93,17.93,1438889
21/04/1950,17.96,17.96,17.96,17.96,1505556
22/04/1950,17.95,17.95,17.95,17.95,1505556
24/04/1950,17.83,17.83,17.83,17.83,1283333
25/04/1950,17.83,17.83,17.83,17.83,1016667
26/04/1950,17.76,17.76,17.76,17.76,1044444
27/04/1950,17.86,17.86,17.86,17.86,1150000
28/04/1950,17.96,17.96,17.96,17.96,1216667
29/04/1950,18.07,18.07,18.07,18.07,1216667
01/05/1950,18.22,18.22,18.22,18.22,1327778
02/05/1950,18.11,18.11,18.11,18.11,1250000
03/05/1950,18.27,18.27,18.27,18.27,1177778
04/05/1950,18.12,18.12,18.12,18.12,1194444
05/05/1950,18.22,18.22,18.22,18.22,1000000
06/05/1950,18.33,18.33,18.33,18.33,1000000
08/05/1950,18.27,18.27,18.27,18.27,933333
09/05/1950,18.27,18.27,18.27,18.27,955556
10/05/1950,18.29,18.29,18.29,18.29,1044444
11/05/1950,18.29,18.29,18.29,18.29,972222
12/05/1950,18.18,18.18,18.18,18.18,994444
13/05/1950,18.2,18.2,18.2,18.2,994444
15/05/1950,18.26,18.26,18.26,18.26,677778
16/05/1950,18.44,18.44,18.44,18.44,961111
17/05/1950,18.52,18.52,18.52,18.52,1122222
18/05/1950,18.56,18.56,18.56,18.56,2911111
19/05/1950,18.68,18.68,18.68,18.68,1172222
20/05/1950,18.71,18.71,18.71,18.71,1172222
22/05/1950,18.6,18.6,18.6,18.6,900000
23/05/1950,18.71,18.71,18.71,18.71,811111
24/05/1950,18.69,18.69,18.69,18.69,1027778
25/05/1950,18.69,18.69,18.69,18.69,822222
26/05/1950,18.67,18.67,18.67,18.67,738889
27/05/1950,18.65,18.65,18.65,18.65,738889
29/05/1950,18.72,18.72,18.72,18.72,616667
31/05/1950,18.78,18.78,18.78,18.78,850000
01/06/1950,18.77,18.77,18.77,18.77,877778
02/06/1950,18.79,18.79,18.79,18.79,805556
05/06/1950,18.6,18.6,18.6,18.6,905556
06/06/1950,18.88,18.88,18.88,18.88,1250000
07/06/1950,18.93,18.93,18.93,18.93,972222
08/06/1950,19.14,19.14,19.14,19.14,988889
09/06/1950,19.26,19.26,19.26,19.26,1183333
12/06/1950,19.4,19.4,19.4,19.4,994444
13/06/1950,19.25,19.25,19.25,19.25,994444
14/06/1950,18.98,18.98,18.98,18.98,916667
15/06/1950,18.93,18.93,18.93,18.93,850000
16/06/1950,18.97,18.97,18.97,18.97,655556
19/06/1950,18.92,18.92,18.92,18.92,716667
20/06/1950,18.83,18.83,18.83,18.83,816667
21/06/1950,19,19,19,19,972222
22/06/1950,19.16,19.16,19.16,19.16,1016667
23/06/1950,19.14,19.14,19.14,19.14,944444
26/06/1950,18.11,18.11,18.11,18.11,2194444
27/06/1950,17.91,17.91,17.91,17.91,2700000
28/06/1950,18.11,18.11,18.11,18.11,1444444
29/06/1950,17.44,17.44,17.44,17.44,1688889
30/06/1950,17.69,17.69,17.69,17.69,1477778
03/07/1950,17.64,17.64,17.64,17.64,861111
05/07/1950,17.81,17.81,17.81,17.81,777778
06/07/1950,17.91,17.91,17.91,17.91,872222
07/07/1950,17.67,17.67,17.67,17.67,1038889
10/07/1950,17.59,17.59,17.59,17.59,1088889
11/07/1950,17.32,17.32,17.32,17.32,1805556
12/07/1950,16.87,16.87,16.87,16.87,1777778
13/07/1950,16.69,16.69,16.69,16.69,1477778
14/07/1950,16.87,16.87,16.87,16.87,1055556
17/07/1950,16.68,16.68,16.68,16.68,844444
18/07/1950,17.06,17.06,17.06,17.06,1011111
19/07/1950,17.36,17.36,17.36,17.36,1350000
20/07/1950,17.61,17.61,17.61,17.61,1755556
21/07/1950,17.59,17.59,17.59,17.59,1561111
24/07/1950,17.48,17.48,17.48,17.48,1277778
25/07/1950,17.23,17.23,17.23,17.23,1538889
26/07/1950,17.27,17.27,17.27,17.27,1366667
27/07/1950,17.5,17.5,17.5,17.5,1277778
28/07/1950,17.69,17.69,17.69,17.69,1138889
31/07/1950,17.84,17.84,17.84,17.84,883333
01/08/1950,18.02,18.02,18.02,18.02,1094444
02/08/1950,17.95,17.95,17.95,17.95,1100000
03/08/1950,17.99,17.99,17.99,17.99,922222
04/08/1950,18.14,18.14,18.14,18.14,888889
07/08/1950,18.41,18.41,18.41,18.41,1027778
08/08/1950,18.46,18.46,18.46,18.46,1211111
09/08/1950,18.61,18.61,18.61,18.61,977778
10/08/1950,18.48,18.48,18.48,18.48,1038889
11/08/1950,18.28,18.28,18.28,18.28,933333
14/08/1950,18.29,18.29,18.29,18.29,711111
15/08/1950,18.32,18.32,18.32,18.32,738889
16/08/1950,18.34,18.34,18.34,18.34,983333
17/08/1950,18.54,18.54,18.54,18.54,1205556
18/08/1950,18.68,18.68,18.68,18.68,988889
21/08/1950,18.7,18.7,18.7,18.7,1022222
22/08/1950,18.68,18.68,18.68,18.68,861111
23/08/1950,18.82,18.82,18.82,18.82,877778
24/08/1950,18.79,18.79,18.79,18.79,900000
25/08/1950,18.54,18.54,18.54,18.54,894444
28/08/1950,18.53,18.53,18.53,18.53,722222
29/08/1950,18.54,18.54,18.54,18.54,1050000
30/08/1950,18.43,18.43,18.43,18.43,827778
31/08/1950,18.42,18.42,18.42,18.42,633333
01/09/1950,18.55,18.55,18.55,18.55,716667
05/09/1950,18.68,18.68,18.68,18.68,694444
06/09/1950,18.54,18.54,18.54,18.54,722222
07/09/1950,18.59,18.59,18.59,18.59,744444
08/09/1950,18.75,18.75,18.75,18.75,1088889
11/09/1950,18.61,18.61,18.61,18.61,1033333
12/09/1950,18.87,18.87,18.87,18.87,933333
13/09/1950,19.09,19.09,19.09,19.09,1444444
14/09/1950,19.18,19.18,19.18,19.18,1305556
15/09/1950,19.29,19.29,19.29,19.29,1338889
18/09/1950,19.37,19.37,19.37,19.37,1133333
19/09/1950,19.31,19.31,19.31,19.31,883333
20/09/1950,19.21,19.21,19.21,19.21,1166667
21/09/1950,19.37,19.37,19.37,19.37,916667
22/09/1950,19.44,19.44,19.44,19.44,1394444
25/09/1950,19.42,19.42,19.42,19.42,1122222
26/09/1950,19.14,19.14,19.14,19.14,1266667
27/09/1950,19.41,19.41,19.41,19.41,1311111
28/09/1950,19.42,19.42,19.42,19.42,1222222
29/09/1950,19.45,19.45,19.45,19.45,1000000
02/10/1950,19.69,19.69,19.69,19.69,1222222
03/10/1950,19.66,19.66,19.66,19.66,1377778
04/10/1950,20,20,20,20,1622222
05/10/1950,19.89,19.89,19.89,19.89,1383333
06/10/1950,20.12,20.12,20.12,20.12,1311111
07/10/1950,20.16,20.16,20.16,20.16,1311111
09/10/1950,20,20,20,20,1294444
10/10/1950,19.78,19.78,19.78,19.78,1038889
11/10/1950,19.86,19.86,19.86,19.86,1222222
13/10/1950,19.85,19.85,19.85,19.85,1127778
14/10/1950,19.71,19.71,19.71,19.71,1127778
16/10/1950,19.71,19.71,19.71,19.71,905556
17/10/1950,19.89,19.89,19.89,19.89,1116667
18/10/1950,20.01,20.01,20.01,20.01,1338889
19/10/1950,20.02,20.02,20.02,20.02,1250000
20/10/1950,19.96,19.96,19.96,19.96,1022222
21/10/1950,20.01,20.01,20.01,20.01,1022222
23/10/1950,19.96,19.96,19.96,19.96,1027778
24/10/1950,20.08,20.08,20.08,20.08,994444
25/10/1950,20.05,20.05,20.05,20.05,1072222
26/10/1950,19.61,19.61,19.61,19.61,1666667
27/10/1950,19.77,19.77,19.77,19.77,1000000
28/10/1950,19.79,19.79,19.79,19.79,1000000
30/10/1950,19.61,19.61,19.61,19.61,994444
31/10/1950,19.53,19.53,19.53,19.53,1116667
01/11/1950,19.56,19.56,19.56,19.56,988889
02/11/1950,19.73,19.73,19.73,19.73,877778
03/11/1950,19.85,19.85,19.85,19.85,866667
04/11/1950,19.78,19.78,19.78,19.78,866667
06/11/1950,19.36,19.36,19.36,19.36,1433333
08/11/1950,19.56,19.56,19.56,19.56,1027778
09/11/1950,19.79,19.79,19.79,19.79,977778
10/11/1950,19.94,19.94,19.94,19.94,911111
13/11/1950,20.01,20.01,20.01,20.01,905556
14/11/1950,19.86,19.86,19.86,19.86,988889
15/11/1950,19.82,19.82,19.82,19.82,900000
16/11/1950,19.72,19.72,19.72,19.72,977778
17/11/1950,19.86,19.86,19.86,19.86,1183333
18/11/1950,19.95,19.95,19.95,19.95,1183333
20/11/1950,19.93,19.93,19.93,19.93,1250000
21/11/1950,19.88,19.88,19.88,19.88,1116667
22/11/1950,20.16,20.16,20.16,20.16,1516667
24/11/1950,20.32,20.32,20.32,20.32,1455556
25/11/1950,20.28,20.28,20.28,20.28,1455556
27/11/1950,20.18,20.18,20.18,20.18,966667
28/11/1950,19.56,19.56,19.56,19.56,1650000
29/11/1950,19.37,19.37,19.37,19.37,1538889
30/11/1950,19.51,19.51,19.51,19.51,1155556
01/12/1950,19.66,19.66,19.66,19.66,1038889
02/12/1950,19.54,19.54,19.54,19.54,1038889
04/12/1950,19,19,19,19,1394444
05/12/1950,19.31,19.31,19.31,19.31,1077778
06/12/1950,19.45,19.45,19.45,19.45,1116667
07/12/1950,19.4,19.4,19.4,19.4,1005556
08/12/1950,19.4,19.4,19.4,19.4,1283333
09/12/1950,19.5,19.5,19.5,19.5,1283333
11/12/1950,19.72,19.72,19.72,19.72,1444444
12/12/1950,19.68,19.68,19.68,19.68,1188889
13/12/1950,19.67,19.67,19.67,19.67,1127778
14/12/1950,19.43,19.43,19.43,19.43,1477778
15/12/1950,19.33,19.33,19.33,19.33,1344444
16/12/1950,19.64,19.64,19.64,19.64,1344444
18/12/1950,19.85,19.85,19.85,19.85,2500000
19/12/1950,19.96,19.96,19.96,19.96,2027778
20/12/1950,19.97,19.97,19.97,19.97,1950000
21/12/1950,19.98,19.98,19.98,19.98,2216667
22/12/1950,20.07,20.07,20.07,20.07,1511111
26/12/1950,19.92,19.92,19.92,19.92,1477778
27/12/1950,20.3,20.3,20.3,20.3,1633333
28/12/1950,20.38,20.38,20.38,20.38,1977778
29/12/1950,20.43,20.43,20.43,20.43,1911111
30/12/1950,20.41,20.41,20.41,20.41,1911111
02/01/1951,20.77,20.77,20.77,20.77,1683333
03/01/1951,20.69,20.69,20.69,20.69,1872222
04/01/1951,20.87,20.87,20.87,20.87,1883333
05/01/1951,20.87,20.87,20.87,20.87,1883333
06/01/1951,20.88,20.88,20.88,20.88,1883333
08/01/1951,21,21,21,21,1544444
09/01/1951,21.12,21.12,21.12,21.12,2111111
10/01/1951,20.85,20.85,20.85,20.85,1816667
11/01/1951,21.19,21.19,21.19,21.19,1938889
12/01/1951,21.11,21.11,21.11,21.11,1638889
13/01/1951,21.1,21.1,21.1,21.1,1638889
15/01/1951,21.3,21.3,21.3,21.3,1572222
16/01/1951,21.46,21.46,21.46,21.46,2077778
17/01/1951,21.55,21.55,21.55,21.55,2155556
18/01/1951,21.4,21.4,21.4,21.4,1938889
19/01/1951,21.36,21.36,21.36,21.36,1761111
20/01/1951,21.41,21.41,21.41,21.41,1761111
22/01/1951,21.18,21.18,21.18,21.18,1427778
23/01/1951,21.26,21.26,21.26,21.26,1155556
24/01/1951,21.16,21.16,21.16,21.16,1105556
25/01/1951,21.03,21.03,21.03,21.03,1400000
26/01/1951,21.26,21.26,21.26,21.26,1238889
27/01/1951,21.53,21.53,21.53,21.53,1238889
29/01/1951,21.67,21.67,21.67,21.67,1461111
30/01/1951,21.74,21.74,21.74,21.74,1377778
31/01/1951,21.66,21.66,21.66,21.66,1300000
01/02/1951,21.77,21.77,21.77,21.77,1322222
02/02/1951,21.96,21.96,21.96,21.96,1683333
03/02/1951,22.08,22.08,22.08,22.08,1683333
05/02/1951,22.2,22.2,22.2,22.2,1488889
06/02/1951,22.12,22.12,22.12,22.12,1316667
07/02/1951,21.99,21.99,21.99,21.99,1122222
08/02/1951,22.09,22.09,22.09,22.09,1177778
09/02/1951,22.17,22.17,22.17,22.17,1416667
10/02/1951,22.21,22.21,22.21,22.21,1416667
13/02/1951,22.18,22.18,22.18,22.18,1333333
14/02/1951,22.12,22.12,22.12,22.12,1138889
15/02/1951,22,22,22,22,944444
16/02/1951,22.13,22.13,22.13,22.13,1033333
17/02/1951,22.15,22.15,22.15,22.15,1033333
19/02/1951,21.83,21.83,21.83,21.83,1061111
20/02/1951,21.79,21.79,21.79,21.79,1116667
21/02/1951,21.86,21.86,21.86,21.86,927778
23/02/1951,21.92,21.92,21.92,21.92,855556
24/02/1951,21.96,21.96,21.96,21.96,855556
26/02/1951,21.93,21.93,21.93,21.93,916667
27/02/1951,21.76,21.76,21.76,21.76,933333
28/02/1951,21.8,21.8,21.8,21.8,911111
01/03/1951,21.85,21.85,21.85,21.85,894444
02/03/1951,21.93,21.93,21.93,21.93,872222
03/03/1951,21.94,21.94,21.94,21.94,872222
05/03/1951,21.79,21.79,21.79,21.79,938889
06/03/1951,21.79,21.79,21.79,21.79,827778
07/03/1951,21.86,21.86,21.86,21.86,983333
08/03/1951,21.95,21.95,21.95,21.95,800000
09/03/1951,21.95,21.95,21.95,21.95,894444
10/03/1951,21.91,21.91,21.91,21.91,894444
12/03/1951,21.7,21.7,21.7,21.7,911111
13/03/1951,21.41,21.41,21.41,21.41,1294444
14/03/1951,21.25,21.25,21.25,21.25,1172222
15/03/1951,21.29,21.29,21.29,21.29,1150000
16/03/1951,21.64,21.64,21.64,21.64,922222
17/03/1951,21.67,21.67,21.67,21.67,922222
19/03/1951,21.56,21.56,21.56,21.56,622222
20/03/1951,21.52,21.52,21.52,21.52,566667
21/03/1951,21.64,21.64,21.64,21.64,727778
22/03/1951,21.73,21.73,21.73,21.73,716667
24/03/1951,21.47,21.47,21.47,21.47,716667
26/03/1951,21.53,21.53,21.53,21.53,683333
27/03/1951,21.51,21.51,21.51,21.51,694444
28/03/1951,21.26,21.26,21.26,21.26,983333
29/03/1951,21.33,21.33,21.33,21.33,722222
30/03/1951,21.48,21.48,21.48,21.48,638889
31/03/1951,21.4,21.4,21.4,21.4,638889
02/04/1951,21.32,21.32,21.32,21.32,711111
03/04/1951,21.26,21.26,21.26,21.26,677778
04/04/1951,21.4,21.4,21.4,21.4,722222
05/04/1951,21.69,21.69,21.69,21.69,994444
06/04/1951,21.72,21.72,21.72,21.72,805556
07/04/1951,21.68,21.68,21.68,21.68,805556
09/04/1951,21.68,21.68,21.68,21.68,616667
10/04/1951,21.65,21.65,21.65,21.65,711111
11/04/1951,21.64,21.64,21.64,21.64,788889
12/04/1951,21.83,21.83,21.83,21.83,850000
13/04/1951,22.09,22.09,22.09,22.09,1177778
14/04/1951,22.2,22.2,22.2,22.2,1177778
16/04/1951,22.04,22.04,22.04,22.04,961111
17/04/1951,22.09,22.09,22.09,22.09,816667
18/04/1951,22.13,22.13,22.13,22.13,988889
19/04/1951,22.04,22.04,22.04,22.04,844444
20/04/1951,22.04,22.04,22.04,22.04,522222
21/04/1951,22.05,22.05,22.05,22.05,522222
23/04/1951,22.05,22.05,22.05,22.05,644444
24/04/1951,21.96,21.96,21.96,21.96,788889
25/04/1951,21.97,21.97,21.97,21.97,844444
26/04/1951,22.16,22.16,22.16,22.16,1000000
27/04/1951,22.39,22.39,22.39,22.39,1177778
28/04/1951,22.43,22.43,22.43,22.43,1177778
30/04/1951,22.43,22.43,22.43,22.43,994444
01/05/1951,22.53,22.53,22.53,22.53,977778
02/05/1951,22.62,22.62,22.62,22.62,1055556
03/05/1951,22.81,22.81,22.81,22.81,1144444
04/05/1951,22.77,22.77,22.77,22.77,1138889
05/05/1951,22.69,22.69,22.69,22.69,1138889
07/05/1951,22.63,22.63,22.63,22.63,877778
08/05/1951,22.61,22.61,22.61,22.61,888889
09/05/1951,22.64,22.64,22.64,22.64,1088889
10/05/1951,22.51,22.51,22.51,22.51,922222
11/05/1951,22.33,22.33,22.33,22.33,911111
12/05/1951,22.22,22.22,22.22,22.22,911111
14/05/1951,22.18,22.18,22.18,22.18,694444
15/05/1951,21.76,21.76,21.76,21.76,1122222
16/05/1951,21.69,21.69,21.69,21.69,922222
17/05/1951,21.91,21.91,21.91,21.91,761111
18/05/1951,21.51,21.51,21.51,21.51,922222
19/05/1951,21.55,21.55,21.55,21.55,922222
21/05/1951,21.46,21.46,21.46,21.46,877778
22/05/1951,21.36,21.36,21.36,21.36,800000
23/05/1951,21.16,21.16,21.16,21.16,855556
24/05/1951,21.05,21.05,21.05,21.05,1433333
25/05/1951,21.03,21.03,21.03,21.03,672222
26/05/1951,21.08,21.08,21.08,21.08,672222
28/05/1951,21.21,21.21,21.21,21.21,688889
29/05/1951,21.35,21.35,21.35,21.35,661111
31/05/1951,21.52,21.52,21.52,21.52,677778
01/06/1951,21.48,21.48,21.48,21.48,5450000
04/06/1951,21.24,21.24,21.24,21.24,611111
05/06/1951,21.33,21.33,21.33,21.33,655556
06/06/1951,21.48,21.48,21.48,21.48,666667
07/06/1951,21.56,21.56,21.56,21.56,744444
08/06/1951,21.49,21.49,21.49,21.49,555556
11/06/1951,21.61,21.61,21.61,21.61,677778
12/06/1951,21.52,21.52,21.52,21.52,666667
13/06/1951,21.55,21.55,21.55,21.55,588889
14/06/1951,21.84,21.84,21.84,21.84,722222
15/06/1951,22.04,22.04,22.04,22.04,761111
18/06/1951,22.05,22.05,22.05,22.05,583333
19/06/1951,22.02,22.02,22.02,22.02,611111
20/06/1951,21.91,21.91,21.91,21.91,622222
21/06/1951,21.78,21.78,21.78,21.78,611111
22/06/1951,21.55,21.55,21.55,21.55,744444
25/06/1951,21.29,21.29,21.29,21.29,1355556
26/06/1951,21.3,21.3,21.3,21.3,700000
27/06/1951,21.37,21.37,21.37,21.37,755556
28/06/1951,21.1,21.1,21.1,21.1,1077778
29/06/1951,20.96,20.96,20.96,20.96,961111
02/07/1951,21.1,21.1,21.1,21.1,750000
03/07/1951,21.23,21.23,21.23,21.23,694444
05/07/1951,21.64,21.64,21.64,21.64,783333
06/07/1951,21.64,21.64,21.64,21.64,650000
09/07/1951,21.73,21.73,21.73,21.73,616667
10/07/1951,21.63,21.63,21.63,21.63,550000
11/07/1951,21.68,21.68,21.68,21.68,538889
12/07/1951,21.8,21.8,21.8,21.8,583333
13/07/1951,21.98,21.98,21.98,21.98,733333
16/07/1951,21.73,21.73,21.73,21.73,666667
17/07/1951,21.92,21.92,21.92,21.92,711111
18/07/1951,21.88,21.88,21.88,21.88,761111
19/07/1951,21.84,21.84,21.84,21.84,622222
20/07/1951,21.88,21.88,21.88,21.88,772222
23/07/1951,22.1,22.1,22.1,22.1,733333
24/07/1951,22.44,22.44,22.44,22.44,966667
25/07/1951,22.32,22.32,22.32,22.32,1038889
26/07/1951,22.47,22.47,22.47,22.47,822222
27/07/1951,22.53,22.53,22.53,22.53,805556
30/07/1951,22.63,22.63,22.63,22.63,888889
31/07/1951,22.4,22.4,22.4,22.4,861111
01/08/1951,22.51,22.51,22.51,22.51,933333
02/08/1951,22.82,22.82,22.82,22.82,1183333
03/08/1951,22.85,22.85,22.85,22.85,872222
06/08/1951,23.01,23.01,23.01,23.01,888889
07/08/1951,23.03,23.03,23.03,23.03,1005556
08/08/1951,22.93,22.93,22.93,22.93,783333
09/08/1951,22.84,22.84,22.84,22.84,833333
10/08/1951,22.79,22.79,22.79,22.79,700000
13/08/1951,22.8,22.8,22.8,22.8,733333
14/08/1951,22.7,22.7,22.7,22.7,655556
15/08/1951,22.79,22.79,22.79,22.79,744444
16/08/1951,22.87,22.87,22.87,22.87,972222
17/08/1951,22.94,22.94,22.94,22.94,900000
20/08/1951,22.93,22.93,22.93,22.93,627778
21/08/1951,22.83,22.83,22.83,22.83,777778
22/08/1951,22.75,22.75,22.75,22.75,627778
23/08/1951,22.9,22.9,22.9,22.9,683333
24/08/1951,22.88,22.88,22.88,22.88,672222
27/08/1951,22.85,22.85,22.85,22.85,600000
28/08/1951,22.9,22.9,22.9,22.9,711111
29/08/1951,23.08,23.08,23.08,23.08,844444
30/08/1951,23.24,23.24,23.24,23.24,1083333
31/08/1951,23.28,23.28,23.28,23.28,850000
04/09/1951,23.28,23.28,23.28,23.28,844444
05/09/1951,23.42,23.42,23.42,23.42,1027778
06/09/1951,23.47,23.47,23.47,23.47,1194444
07/09/1951,23.53,23.53,23.53,23.53,1094444
10/09/1951,23.62,23.62,23.62,23.62,1216667
11/09/1951,23.5,23.5,23.5,23.5,1133333
12/09/1951,23.6,23.6,23.6,23.6,1211111
13/09/1951,23.71,23.71,23.71,23.71,1305556
14/09/1951,23.69,23.69,23.69,23.69,1205556
17/09/1951,23.62,23.62,23.62,23.62,1000000
18/09/1951,23.59,23.59,23.59,23.59,1127778
19/09/1951,23.59,23.59,23.59,23.59,1150000
20/09/1951,23.57,23.57,23.57,23.57,1166667
21/09/1951,23.4,23.4,23.4,23.4,1211111
24/09/1951,23.3,23.3,23.3,23.3,905556
25/09/1951,23.38,23.38,23.38,23.38,966667
26/09/1951,23.4,23.4,23.4,23.4,844444
27/09/1951,23.27,23.27,23.27,23.27,855556
28/09/1951,23.26,23.26,23.26,23.26,772222
01/10/1951,23.47,23.47,23.47,23.47,738889
02/10/1951,23.64,23.64,23.64,23.64,1038889
03/10/1951,23.79,23.79,23.79,23.79,1544444
04/10/1951,23.72,23.72,23.72,23.72,1005556
05/10/1951,23.78,23.78,23.78,23.78,1155556
06/10/1951,23.77,23.77,23.77,23.77,1155556
08/10/1951,23.75,23.75,23.75,23.75,1033333
09/10/1951,23.65,23.65,23.65,23.65,972222
10/10/1951,23.61,23.61,23.61,23.61,733333
11/10/1951,23.7,23.7,23.7,23.7,977778
13/10/1951,23.8,23.8,23.8,23.8,977778
15/10/1951,23.85,23.85,23.85,23.85,955556
16/10/1951,23.77,23.77,23.77,23.77,961111
17/10/1951,23.69,23.69,23.69,23.69,811111
18/10/1951,23.67,23.67,23.67,23.67,805556
19/10/1951,23.32,23.32,23.32,23.32,1105556
20/10/1951,23.13,23.13,23.13,23.13,1105556
22/10/1951,22.75,22.75,22.75,22.75,1494444
23/10/1951,22.84,22.84,22.84,22.84,1172222
24/10/1951,23.03,23.03,23.03,23.03,927778
25/10/1951,22.96,22.96,22.96,22.96,755556
26/10/1951,22.81,22.81,22.81,22.81,950000
27/10/1951,22.45,22.45,22.45,22.45,950000
29/10/1951,22.69,22.69,22.69,22.69,988889
30/10/1951,22.66,22.66,22.66,22.66,850000
31/10/1951,22.94,22.94,22.94,22.94,827778
01/11/1951,23.1,23.1,23.1,23.1,794444
02/11/1951,22.93,22.93,22.93,22.93,683333
03/11/1951,22.74,22.74,22.74,22.74,683333
05/11/1951,22.82,22.82,22.82,22.82,627778
07/11/1951,22.49,22.49,22.49,22.49,827778
08/11/1951,22.47,22.47,22.47,22.47,783333
09/11/1951,22.75,22.75,22.75,22.75,816667
10/11/1951,22.89,22.89,22.89,22.89,816667
13/11/1951,22.79,22.79,22.79,22.79,644444
14/11/1951,22.85,22.85,22.85,22.85,677778
15/11/1951,22.84,22.84,22.84,22.84,666667
16/11/1951,22.82,22.82,22.82,22.82,633333
17/11/1951,22.84,22.84,22.84,22.84,633333
19/11/1951,22.73,22.73,22.73,22.73,572222
